Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Example
上班,shàng bān,to go to work,thượng ban,đi làm,我八点上班。Tôi đi làm lúc 8 giờ.
身体,shēn tǐ,body,thân thể,cơ thể,身体好吗？Sức khỏe ổn không?
生病,shēng bìng,to get sick,sinh bệnh,ốm,我生病了。Tôi bị bệnh.
生日,shēng rì,birthday,sinh nhật,sinh nhật,生日快乐！Chúc mừng sinh nhật!
时间,shí jiān,time,thời gian,thời gian,我没有时间。Tôi không có thời gian.
事情,shì qíng,thing/matter,sự tình,sự việc,什么事情？Chuyện gì vậy?
手表,shǒu biǎo,watch,thủ biểu,đồng hồ đeo tay,我的手表。Đồng hồ của tôi.
手机,shǒu jī,cell phone,thủ cơ,điện thoại di động,我的手机没电了。Điện thoại tôi hết pin rồi.
送,sòng,to give/ deliver,tống,tặng/đưa,我送你回家。Tôi đưa bạn về.
所以,suǒ yǐ,therefore, sở dĩ,cho nên,所以我不去了。Cho nên tôi không đi.
它,tā,it,tha,nó,它很可爱。Nó rất dễ thương.
踢,tī,to kick,đích,đá,踢足球。Đá bóng.
题,tí,question/problem,đề,đề bài,这道题很难。Bài này khó.
跳舞,tiào wǔ,to dance, khiêu vũ,nhảy múa,她喜欢跳舞。Cô ấy thích nhảy.
外,wài,outside,ngoại,bên ngoài,外面很冷。Bên ngoài rất lạnh.
完,wán,to finish,hoàn,xong,我做完了。Tôi làm xong rồi.
玩,wán,to play,ngoạn,chơi,我们一起玩吧。Chúng ta cùng chơi nhé.
晚上,wǎn shàng,evening,vãn thượng,buổi tối,晚上见。Hẹn gặp tối nay.
为,wèi,for,vi,vì/cho,为了你。Vì bạn.
问,wèn,to ask,vấn,hỏi,我问你一个问题。Tôi hỏi bạn 1 câu.
问题,wèn tí,question,vấn đề,câu hỏi,这个问题很简单。Câu hỏi này rất dễ.
西瓜,xī guā,watermelon,tây qua,dưa hấu,我爱吃西瓜。Tôi thích ăn dưa hấu.
希望,xī wàng,to hope,hi vọng,hy vọng,我希望你快乐。Tôi hy vọng bạn vui vẻ.
洗,xǐ,to wash,tẩy,rửa/giặt,洗衣服。Giặt đồ.
向,xiàng,towards,hướng,hướng tới,向左走。Đi về bên trái.
小时,xiǎo shí,hour,tiểu thời,giờ,一个小时。一 tiếng.
笑,xiào,to laugh,tiếu,cười,他笑了。Anh ấy cười rồi.
新,xīn,new,tân,mới,新手机。Điện thoại mới.
姓,xìng,surname,tính,họ,你姓什么？Bạn họ gì?
休息,xiū xī,to rest,hưu tức,nghỉ ngơi,我需要休息。Tôi cần nghỉ.
雪,xuě,snow,tuyết,tuyết,下雪了。Trời có tuyết.
颜色,yán sè,color,nhan sắc,màu sắc,你喜欢什么颜色？Bạn thích màu gì?
眼睛,yǎn jīng,eyes,nhãn tinh,mắt,她的眼睛很大。Mắt cô ấy rất to.
羊肉,yáng ròu,lamb/mutton,dương nhục,thịt cừu,我不吃羊肉。Tôi không ăn thịt cừu.
药,yào,medicine,dược,thuốc,吃药。Uống thuốc.
要,yào,to want,yếu,muốn,我要这个。Tôi muốn cái này.
也,yě,also,dã,cũng,我也是。Tôi cũng vậy.
已经,yǐ jīng,already,dĩ kinh,đã,我已经吃了。Tôi ăn rồi.
一起,yì qǐ,together,nhất khởi,cùng nhau,我们一起去吧。Chúng ta cùng đi nhé.
意思,yì si,meaning,ý tứ,ý nghĩa,什么意思？Nghĩa là gì?
阴,yīn,cloudy,âm,trời âm u,今天是阴天。Hôm nay trời âm u.
因为,yīn wèi,because,nhân vị,bởi vì,因为太远了。Bởi vì quá xa.
游泳,yóu yǒng,to swim,du vịnh,bơi,我不会游泳。Tôi không biết bơi.
右边,yòu biān,right side,hữu biên,bên phải,在右边。在 bên phải.
鱼,yú,fish,ngư,cá,我爱吃鱼。Tôi thích ăn cá.
元,yuán,yuan (CNY),nguyên,tệ,十元。10 tệ.
远,yuǎn,far,viễn,xa,太远了！Xa quá!
运动,yùn dòng,sports/v 운동,vận động,thể thao,我喜欢运动。Tôi thích thể thao.
再,zài,again,tái,lại,再来一次。Làm lại lần nữa.
早上,zǎo shàng,morning,tảo thượng,buổi sáng,早上好！Chào buổi sáng!
张,zhāng,measure word for flat objects,trương,tờ/miếng,一张纸。Một tờ giấy.
长,zhǎng,to grow/trưởng/chief, trưởng,phát triển/lớn,孩子长高了。Đứa trẻ lớn lên rồi.
丈夫,zhàng fū,husband,trượng phu,chồng,他是我丈夫。Anh ấy là chồng tôi.
找,zhǎo,to look for,tảo,tìm,我找你。Tôi tìm bạn.
着,zhe,particle (ongoing state),trước,đang,门开着。Cửa đang mở.
真,zhēn,really,chân,thật/sự,真的？Thật sao?
正在,zhèng zài,in the middle of, chính tại,đang,我正在学习。Tôi đang học.
知道,zhī dào,to know,tri đạo,biết,我知道了。Tôi biết rồi.
准备,zhǔn bèi,to prepare,chuẩn bị,chuẩn bị,我准备好了。Tôi chuẩn bị xong rồi.
自行车,zì xíng chē,bicycle,tự hành xa,xe đạp,我骑自行车。Tôi đi xe đạp.
走,zǒu,to leave/walk,tẩu,đi/bỏ đi,我走了。Tôi đi đây.
最,zuì,most,tối,nhất,最好。Tốt nhất.
左边,zuǒ biān,left side,tả biên,bên trái,在左边。Ở bên trái.
